distinct_files,total_occurrences,token_normalized,token_example_casing,example_file,example_line
12,12,"SCENARIOPREFIX","ScenarioPrefix","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",33
12,12,"MASTERNET","MasterNet","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",29
11,32,"MW[11]","mw[11]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",228
10,39,"MW[12]","mw[12]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",229
10,31,"MW[13]","mw[13]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",230
10,22,"MW[100]","mw[100]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/d_TripTable/2_External_TripTable.s",575
10,14,"MW[4]","MW[4]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/5_WalkTransitSkim_Emp30MinTransit.s",63
9,31,"MW[23]","mw[23]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",240
9,31,"DIRECTION","DIRECTION","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",27
9,30,"MW[16]","mw[16]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",233
9,30,"MW[15]","mw[15]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",232
9,30,"MW[14]","mw[14]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",231
9,29,"MW[22]","mw[22]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",239
9,29,"MW[21]","mw[21]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",238
8,9,"MW[5]","MW[5]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/5_WalkTransitSkim_Emp30MinTransit.s",64
8,52,"CHECKPROGRESS","CheckProgress","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/1_NetProcessor.s",1169
8,30,"SEGID","SEGID","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",35
8,26,"PRINTPROGRESS","PrintProgress","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/1_NetProcessor.s",1164
8,26,"PRINTPROGINC","PrintProgInc","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/1_NetProcessor.s",1165
8,23,"MW[10]","mw[10]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",227
8,13,"MW[24]","mw[24]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/08_TripTablesByPeriod.s",117
8,10,"RO.Z","RO.Z","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/b_SEProcessing/1_DemographicsAnalysis.s",253
8,10,"MW[300]","mw[300]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",3823
7,7,"MW[6]","MW[6]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/07_HBW_dest_choice.s",144
7,27,"MW[18]","mw[18]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",235
7,27,"MW[17]","mw[17]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",234
7,20,"MW[141]","mw[141]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2258
7,15,"MW[145]","mw[145]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2263
7,15,"MW[144]","mw[144]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2262
7,12,"MW[26]","mw[26]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/08_TripTablesByPeriod.s",119
7,12,"MW[25]","mw[25]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/08_TripTablesByPeriod.s",118
7,12,"MW[200]","mw[200]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2904
7,10,"RO.CO_FIPS","RO.CO_FIPS","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/b_SEProcessing/1_DemographicsAnalysis.s",258
6,25,"MW[19]","mw[19]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",236
6,25,"LINKID","LINKID","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",21
6,18,"MW[1][J]","mw[1][J]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/2_FFSkim.s",61
6,16,"MATI[2]","MATI[2]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2131
6,13,"MW[146]","mw[146]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2264
6,10,"MW[43]","mw[43]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/10_ConvertSomeXI2HBW.s",244
6,10,"MW[42]","mw[42]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/10_ConvertSomeXI2HBW.s",241
6,10,"MW[41]","mw[41]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/10_ConvertSomeXI2HBW.s",240
6,10,"MW[28]","MW[28]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/11_MC_HBW_HBO_NHB_HBC.s",1733
6,10,"MW[27]","MW[27]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/11_MC_HBW_HBO_NHB_HBC.s",1732
5,9,"MW[44]","mw[44]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/10_ConvertSomeXI2HBW.s",245
5,9,"MW[33]","mw[33]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/10_ConvertSomeXI2HBW.s",234
5,9,"MW[32]","mw[32]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/10_ConvertSomeXI2HBW.s",232
5,9,"MW[31]","mw[31]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/10_ConvertSomeXI2HBW.s",231
5,9,"MW[136]","mw[136]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/12_EstimateHBSchModeShare.s",175
5,8,"RO.CO_TAZID","RO.CO_TAZID","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/b_SEProcessing/1_DemographicsAnalysis.s",256
5,8,"MAXITERS","MAXITERS","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/d_TripTable/2_External_TripTable.s",606
5,24,"MW[20]","mw[20]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",237
5,17,"PRD","prd","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/05_Skim_Tran.s",96
5,14,"MW[143]","mw[143]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2260
5,14,"MW[142]","mw[142]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2259
5,13,"TAZID","TAZID","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",34
5,11,"MW[2][J]","mw[2][J]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/2_FFSkim.s",58
4,9,"PM_TIME","PM_TIME","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",338
4,9,"PM_SPD","PM_SPD","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",300
4,9,"MD_TIME","MD_TIME","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",337
4,9,"MD_SPD","MD_SPD","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",299
4,9,"MATI[4]","MATI[4]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2133
4,9,"EV_TIME","EV_TIME","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",339
4,9,"EV_SPD","EV_SPD","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",301
4,9,"DY_TIME","DY_TIME","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",340
4,9,"DY_SPD","DY_SPD","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",302
4,9,"AM_TIME","AM_TIME","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",336
4,9,"AM_SPD","AM_SPD","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",298
4,8,"PROB_WALKACC","prob_walkacc","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/block/HBW_HBO_calculate_trips.block",395
4,8,"PROB_TRANSIT","prob_transit","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/block/HBW_HBO_calculate_trips.block",387
4,8,"PROB_DRIVEACC","prob_driveacc","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/block/HBW_HBO_calculate_trips.block",396
4,8,"PROB_AUTO","prob_auto","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/block/HBW_HBO_calculate_trips.block",386
4,8,"MW[48]","MW[48]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/11_MC_HBW_HBO_NHB_HBC.s",1751
4,8,"MW[47]","MW[47]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/11_MC_HBW_HBO_NHB_HBC.s",1750
4,8,"MW[46]","MW[46]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/11_MC_HBW_HBO_NHB_HBC.s",1749
4,8,"MW[45]","MW[45]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/11_MC_HBW_HBO_NHB_HBC.s",1748
4,8,"MW[34]","mw[34]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/10_ConvertSomeXI2HBW.s",235
4,8,"MW[30]","mw[30]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/18_SumToDistricts_FinalTripTables.s",334
4,8,"MW[29]","mw[29]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/18_SumToDistricts_FinalTripTables.s",333
4,8,"MATI[5]","MATI[5]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2135
4,8,"MAG_LINK","MAG_LINK","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",22
4,7,"MW[147]","mw[147]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/10_ConvertSomeXI2HBW.s",358
4,7,"EXTERNAL","EXTERNAL","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",20
4,7,"DISTANCE","DISTANCE","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",18
4,6,"MW[11][J]","MW[11][j]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/4_ModeChoice/07_HBW_dest_choice.s",358
4,5,"SEL_LINK","SEL_LINK","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",25
4,5,"RO.DISTMED","RO.DISTMED","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/b_SEProcessing/1_DemographicsAnalysis.s",263
4,5,"RO.DISTLRG","RO.DISTLRG","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/b_SEProcessing/1_DemographicsAnalysis.s",261
4,5,"PM_VOL","PM_VOL","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",285
4,5,"ONEWAY","ONEWAY","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",26
4,5,"MW[342]","mw[342]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2440
4,5,"MW[341]","mw[341]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2439
4,5,"MW[245]","mw[245]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2416
4,5,"MW[244]","mw[244]","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",2415
4,5,"MD_VOL","MD_VOL","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",284
4,5,"FF_TIME","FF_TIME","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/1_NetProcessor.s",883
4,5,"FF_SPD","FF_SPD","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/1_NetProcessor.s",852
4,5,"EV_VOL","EV_VOL","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",286
4,5,"DY_VOL","DY_VOL","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/3_Distribute/1_Distribution.s",287
